,Close,MA_fast,MA_slow,Signal,Position_Change,Daily_Return,Strategy_Return,Cum_Strategy,Cum_BuyHold
2022-01-03,152.68624753249046,,,0,,,,1.0,1.0
2022-01-04,157.22989081118192,,,0,0.0,0.029758038802575326,0.0,1.0,1.0297580388025753
2022-01-05,151.07196876585627,,,0,0.0,-0.03916508504557015,-0.0,1.0,0.989427477636513
2022-01-06,150.8745801477545,,,0,0.0,-0.0013065866534625048,-0.0,1.0,0.988134704899664
2022-01-07,153.479714803399,,,0,0.0,0.017266889181021927,0.0,1.0,1.0051967173450884
2022-01-10,156.9775303604681,,,0,0.0,0.022790083768071012,0.0,1.0,1.028105234736773
2022-01-11,158.7710600225449,,,0,0.0,0.011425390996776974,0.0,1.0,1.0398517390294737
2022-01-12,162.76658427017614,,,0,0.0,0.025165318207637455,0.0,1.0,1.0660199389309155
2022-01-13,163.67070249259928,,,0,0.0,0.005554691870429673,0.0,1.0,1.071941351219411
2022-01-14,165.2693838071915,,,0,0.0,0.009767669413311753,0.0,1.0,1.0824117199685808
2022-01-17,165.8919337315916,,,0,0.0,0.0037668799269341413,0.0,1.0,1.0864890349492087
2022-01-18,163.21279423785055,,,0,0.0,-0.016149908156931958,-0.0,1.0,1.0689423368212654
2022-01-19,161.16179077788672,,,0,0.0,-0.012566438002249325,-0.0,1.0,1.0555095392176215
2022-01-20,162.28955559719134,,,0,0.0,0.0069977183416811695,0.0,1.0,1.0628956976800241
2022-01-21,160.93474894421217,,,0,0.0,-0.00834808283252586,-0.0,1.0,1.054022556353456
2022-01-24,164.39035594994124,,,0,0.0,0.02147209989389509,0.0,1.0,1.076654633973896
2022-01-25,167.9761498742198,,,0,0.0,0.0218126781437864,0.0,1.0,1.1001393549767848
2022-01-26,173.03650533016145,,,0,0.0,0.03012544018737673,0.0,1.0,1.1332815373129173
2022-01-27,173.1200707451354,,,0,0.0,0.0004829351749475741,0.0,1.0,1.1338288388304043
2022-01-28,177.15494770836122,162.09832579551068,,0,0.0,0.023306812120969633,0.0,1.0,1.1602547745543617
2022-01-31,174.76308734976763,163.20216778637453,,0,0.0,-0.01350151598662186,-0.0,1.0,1.1445895761671616
2022-02-01,172.65065790872836,163.97320614125186,,0,0.0,-0.012087389122460879,-0.0,1.0,1.1307544765745166
2022-02-02,173.03105436340726,165.0711604211294,,0,0.0,0.0022032725463461134,0.0,1.0,1.1332458368694112
2022-02-03,173.96845275373843,166.2258540514286,,0,0.0,0.0054175153343423155,0.0,1.0,1.1393852135682307
2022-02-04,169.72681324329358,167.03820897342334,,0,0.0,-0.024381659107178044,-0.0,1.0,1.111605111699251
2022-02-07,165.23993621536957,167.45132926616841,,0,0.0,-0.026435876230659794,-0.0,1.0,1.0822188565490007
2022-02-08,166.33100865554408,167.82932669781837,,0,0.0,0.006602958492748723,0.0,1.0,1.0893647027388638
2022-02-09,164.19993838944794,167.90099440378194,,0,0.0,-0.012812224751846402,-0.0,1.0,1.075407517330645
2022-02-10,167.55615263153808,168.0952669107289,,0,0.0,0.02043980207915741,0.0,1.0,1.0973886341393213
2022-02-11,168.76906038907993,168.27025073982333,,0,0.0,0.007238813606618599,0.0,1.0,1.1053324259158777
2022-02-14,169.75330356026373,168.46331923125692,,0,0.0,0.0058318934105263676,0.0,1.0,1.1117786068070177
2022-02-15,170.473747221467,168.82636688043775,,0,0.0,0.004244062684455985,0.0,1.0,1.116497064905544
2022-02-16,173.08951892564184,169.42275328782551,,0,0.0,0.015344132142391498,0.0,1.0,1.1336287434060468
2022-02-17,172.82165603199982,169.94935830956592,,0,0.0,-0.00154753965060761,-0.0,1.0,1.1318744079765575
2022-02-18,176.00814433712654,170.70302807921163,,0,0.0,0.018438015109268013,0.0,1.0,1.152743925412623
2022-02-21,174.69046554601974,171.2180335590156,,0,0.0,-0.007486464879618904,-0.0,1.0,1.1441139484998275
2022-02-22,174.21944382609252,171.5301982566092,,0,0.0,-0.0026963218539430844,-0.0,1.0,1.1410290490570862
2022-02-23,172.48798690153959,171.50277233517812,,0,0.0,-0.009938367879771759,-0.0,1.0,1.1296890826060508
2022-02-24,174.30213178653625,171.56187538724814,,0,0.0,0.010517514393812322,0.0,1.0,1.1415706037928925
2022-02-25,174.55926839637254,171.43209142164872,,0,0.0,0.001475235025531374,0.0,1.0,1.1432546887317248
2022-02-28,172.3225580451441,171.31006495641753,,0,0.0,-0.012813472305289175,-0.0,1.0,1.1286056264397688
2022-03-01,178.09162002633724,171.582113062298,,0,0.0,0.03347827496665756,0.0,1.0,1.1663893959306362
2022-03-02,177.2176631995168,171.79144350410346,,0,0.0,-0.004907343909225981,-0.0,1.0,1.1606655220327302
2022-03-03,177.04747488185154,171.9453946105091,,0,0.0,-0.0009603349609325074,-0.0,1.0,1.1595508943539732
2022-03-04,178.3280002499411,172.37545396084153,,0,0.0,0.0072326666559017205,0.0,1.0,1.1679375394433882
2022-03-07,183.5499738048135,173.2909558403137,,0,0.0,0.029282970411564024,0.0,1.0,1.2021382198534638
2022-03-08,183.2795951255334,174.13838516381315,,0,0.0,-0.0014730521267609653,-0.0,1.0,1.200367407592048
2022-03-09,185.52019815380726,175.20439815203113,,0,0.0,0.012225054440671457,0.0,1.0,1.2150419644986685
2022-03-10,185.98099413980827,176.12564022744465,,0,0.0,0.0024838049473134838,0.0,1.0,1.2180598917412837
2022-03-11,181.8393832423376,176.7791563701075,169.47571610424558,0,0.0,-0.022269000747233814,-0.0,1.0,1.1909349151019215
2022-03-14,184.32406364253617,177.50769437422113,170.1084724264465,1,1.0,0.013664148854306557,0.0,1.0,1.207208027057665
2022-03-15,187.52752834277337,178.36038343028645,170.7144251770783,1,0.0,0.017379525152232622,0.017379525152232622,1.0173795251522326,1.2281887293278908
